Rank,Player,GP,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF
46,Tyreke Evans (SAC),65,8.7,18.2,47.80%,1.1,3.2,33.80%,5,6.5,77.50%,1.3,5.5,6.8,5.5,2.1,0.6,3,3.2,23.5,24.6
47,Michael Beasley (PHX),75,9.6,23.7,40.50%,1.4,4.4,31.30%,2.9,3.9,74.60%,1.6,7.1,8.7,3.4,1,1.1,4.5,3.3,23.4,18.1
48,Derrick Williams (MIN),78,8.5,19.7,43.00%,1.6,4.9,33.20%,4.8,6.8,70.60%,2.4,8.4,10.8,1.2,1.1,0.9,2.5,3.2,23.4,21.6
49,Jose Juan Barea (MIN),74,8.9,21.2,41.70%,2.7,7.8,34.60%,2.9,3.8,78.40%,1,4.8,5.8,8.2,0.9,0,4.1,3.7,23.4,21
50,Ty Lawson (DEN),73,8.6,18.5,46.10%,1.6,4.4,36.60%,4.5,5.9,75.60%,0.7,3.1,3.8,9.6,2,0.1,3.5,2.6,23.2,23.9
51,Gordon Hayward (UTA),72,7.7,17.6,43.50%,2.3,5.6,41.50%,5.5,6.7,82.70%,1.2,4,5.1,4.9,1.3,0.9,2.7,2.9,23.2,21.5
52,Greg Monroe (DET),81,9.2,18.9,48.60%,0,0.1,0.00%,4.8,7,68.90%,4.2,9.7,13.9,5,1.9,1,4.2,3.4,23.2,28.9
53,Brandon Jennings (MIL),80,8.2,20.7,39.90%,2.9,7.6,37.50%,3.8,4.7,81.90%,1,3.1,4.1,8.6,2.1,0.2,3.4,2.6,23.1,21.5
54,Luis Scola (PHX),82,9.5,20.1,47.20%,0.1,0.4,18.80%,4,5.1,78.70%,3.5,8.4,11.9,4,1.5,0.8,2.8,5.7,23,26.7
55,Ersan Ilyasova (MIL),73,8.9,19.2,46.20%,2.3,5.1,44.40%,3,3.7,79.60%,3.7,8.7,12.4,2.8,1.6,0.9,1.8,4.4,23,27.8
56,Paul Millsap (UTA),78,8.7,17.7,49.00%,0.3,0.8,33.30%,5.3,7.2,74.20%,3.6,7.6,11.2,4.1,2.1,1.6,2.8,4.7,22.9,28.2
57,Jordan Crawford (BOS),70,8.5,20.4,41.50%,2.3,6.9,33.70%,3.6,4.5,81.10%,1.2,4.6,5.9,6.3,1.1,0.2,4,3,22.9,19.6
58,Dwight Howard (LAL),76,8.3,14.3,57.80%,0,0.1,16.70%,6.3,12.7,49.20%,4.4,12.2,16.7,1.9,1.5,3.3,4,5.1,22.9,29.7
59,Jrue Holiday (PHI),78,9.1,21.1,43.10%,1.5,4.1,36.80%,3,4,75.20%,1.5,3.9,5.4,10.3,2,0.5,4.8,2.8,22.7,23.1
