Rank,Player,GP,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
165,Jae Crowder (DAL),78,17.3,1.8,4.7,38.40%,0.8,2.5,32.80%,0.6,0.9,64.40%,0.4,1.9,2.4,1.2,0.8,0.2,0.6,5,5.8
166,Ian Mahinmi (IND),80,16.5,1.9,4.1,45.30%,0,0,0.00%,1.3,2.1,60.80%,1.4,2.5,3.9,0.3,0.5,0.8,1.1,5,6.3
167,Bismack Biyombo (CHA),80,27.3,2,4.3,45.10%,0,0,0.00%,0.9,1.8,52.10%,2.4,4.8,7.3,0.4,0.3,1.8,1,4.8,10.4
168,Thomas Robinson (HOU),70,15.1,2,4.6,43.00%,0,0,0.00%,0.8,1.6,52.30%,1.7,2.8,4.5,0.7,0.6,0.4,1.3,4.8,6.3
169,D.J. Augustin (IND),76,16.1,1.4,3.9,35.00%,0.9,2.5,35.30%,1.1,1.3,83.80%,0.3,0.9,1.2,2.2,0.5,0,0.9,4.7,5
170,Reggie Evans (BKN),80,24.6,1.6,3.3,47.90%,0,0,0.00%,1.4,2.8,50.90%,3.3,7.8,11.1,0.5,0.9,0.2,1.4,4.5,12.8
171,Ekpe Udoh (MIL),76,17.3,1.5,3.5,43.50%,0,0,0.00%,1.2,1.6,74.80%,1.5,1.8,3.3,0.6,0.5,1.1,0.6,4.3,6.8
172,Kendrick Perkins (OKC),78,25.1,1.8,4,45.70%,0,0,0.00%,0.6,0.9,61.10%,1.4,4.6,6,1.4,0.6,1.1,1.4,4.2,9.3
173,Keith Bogans (BKN),74,19,1.5,3.8,38.00%,1.1,3.3,34.30%,0.1,0.2,64.70%,0.2,1.4,1.6,1,0.4,0.1,0.7,4.2,4.2
174,Will Barton (POR),73,12.2,1.6,4.2,38.20%,0.1,0.9,13.80%,0.7,0.9,76.90%,0.5,1.5,2,0.8,0.5,0.1,0.8,4,3.8
175,Greg Stiemsma (MIN),76,15.9,1.7,3.7,45.70%,0,0,0.00%,0.7,0.9,76.80%,0.8,2.6,3.4,0.4,0.6,1.2,0.8,4,6.7
176,Lamar Odom (LAC),82,19.7,1.8,4.5,39.90%,0.2,1.1,20.00%,0.2,0.5,47.60%,1.4,4.4,5.9,1.7,0.8,0.7,1.1,4,9.2
177,Udonis Haslem (MIA),75,18.9,1.7,3.3,51.40%,0,0,0.00%,0.4,0.6,71.10%,1.3,4.1,5.4,0.5,0.4,0.2,0.6,3.9,8
178,Nando De Colo (SAS),72,12.8,1.5,3.3,43.60%,0.4,1.1,37.80%,0.5,0.6,79.50%,0.3,1.6,1.9,1.9,0.6,0.1,1.1,3.8,5.2
179,Pablo Prigioni (NYK),78,16.2,1.3,2.8,45.50%,0.7,1.7,39.60%,0.3,0.3,88.00%,0.5,1.3,1.8,3,0.9,0,1.1,3.5,6.6
180,Dahntay Jones (ATL),78,13,1.1,2.8,36.90%,0.1,0.6,22.40%,1.1,1.4,77.00%,0.3,1,1.3,0.6,0.3,0.1,0.5,3.4,3
181,Draymond Green (GSW),79,13.4,1.1,3.3,32.70%,0.2,0.8,20.90%,0.6,0.7,81.80%,0.7,2.6,3.3,0.7,0.5,0.3,0.7,2.9,4.7
182,Charles Hayes (SAC),74,16.3,1.1,2.6,44.20%,0,0,0.00%,0.4,0.6,62.50%,1.5,2.5,4,1.5,0.4,0.2,0.6,2.7,6.6
183,Festus Ezeli (GSW),78,14.4,0.9,2.2,43.80%,0,0,0.00%,0.6,1,53.10%,1.8,2.2,4,0.3,0.3,0.9,0.8,2.4,5.5
